MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,AP_DIFF,SEMIMINOR_AXIS,ORBITAL_VELOCITY,TARGET,RCS_SIZE_MEDIUM,RCS_SIZE_SMALL
13.26947469,0.0089754,99.8534,25.7662,244.8861,126.0726,18865,4.8244e-05,-2e-07,0.0,7536.436,108.52,1225.944,1090.659,135.28499999999983,7536.13243451479,7.272536006804443,1,0,1
14.09505125,0.0014808,81.2801,51.9869,71.8747,288.4035,12130,6.9707e-05,1.35e-06,0.0,7239.203,102.164,871.787,850.348,21.43900000000008,7239.195063046991,7.420334962438424,1,0,1
2.90042432,0.6483352,7.5542,252.3309,315.6377,7.7988,23457,0.0,-1.23e-06,0.0,20769.569,496.479,27857.077,925.791,26931.286,15813.015648144528,4.380817342184626,1,1,0
7.4239352,0.4055093,34.8469,235.8757,5.5156,357.8848,52951,0.00071248,0.0003453,0.0,11099.729,193.967,9222.638,220.551,9002.087000000001,10146.161478710635,5.992564263611255,1,0,1
1.00268324,0.0002632,4.0142,81.32,146.3496,286.9601,7464,0.0,-2.47e-06,0.0,42165.702,1436.146,35798.665,35776.469,22.19600000000355,42165.70053950149,3.074604229725929,0,0,0
1.84791067,0.4963806,15.7602,279.3012,305.7104,264.7529,13754,0.0,-1.75e-06,0.0,28050.968,779.258,35596.79,7748.877,27847.913,24351.18571973345,3.76959733283946,0,0,0
3.92403834,0.0016249,44.8649,274.4538,350.1868,9.802,13921,0.0,-1.3e-07,0.0,16979.035,366.969,10628.49,10573.311,55.17900000000009,16979.012585112065,4.845207558844244,0,0,0
4.15708403,0.0091957,44.9754,68.1025,3.7767,16.4414,30930,0.0,-1.5e-07,0.0,16338.392,346.397,10110.5,9810.014,300.4860000000008,16337.70119084213,4.939286661121509,0,0,0
14.28238381,0.0101495,98.6123,274.0938,243.1849,115.8925,95047,4.2908e-05,6.8e-07,0.0,7175.762,100.824,870.458,724.797,145.66099999999994,7175.392394427042,7.453064417530224,1,0,1
0.99291809,0.0011935,13.8907,19.0362,117.3094,242.2789,2706,0.0,1e-07,0.0,42441.712,1450.271,36114.231,36012.923,101.30799999999726,42441.68177210537,3.0645904286544043,0,0,0
0.99136981,0.0004851,9.1098,49.6423,295.7646,118.4916,7401,0.0,-1.61e-06,0.0,42485.889,1452.536,36128.364,36087.145,41.2190000000046,42485.88400106731,3.062996727472926,0,0,0
1.00264671,0.0002135,11.2204,27.1695,229.8008,57.1229,1602,0.0,-2.87e-06,0.0,42166.726,1436.199,35797.594,35779.589,18.00499999999738,42166.72503897287,3.0745668968079567,0,0,0
2.43556835,0.7133772,28.3462,319.9951,251.9266,23.7669,2076,0.001527,1.453e-05,0.0,23334.668,591.238,33602.953,310.113,33292.840000000004,16352.474670002124,4.133025404291689,0,0,0
1.00267024,0.0002215,11.8222,25.6391,152.7212,208.2258,7391,0.0,7e-07,0.0,42166.067,1436.165,35797.271,35778.592,18.679000000003725,42166.06596561893,3.074590922426336,0,0,0
1.00234873,0.0024302,11.8035,25.8441,40.926,259.4367,7385,0.0,1.42e-06,0.0,42175.083,1436.626,35899.442,35694.454,204.98800000000483,42174.95845949438,3.074262268735167,0,0,0
2.5374876,0.7084706,28.438,109.3915,187.9567,147.7293,17687,0.0002937,1.719e-05,0.0,22705.578,567.49,32413.677,241.208,32172.469,16024.242038930315,4.189889861254796,0,1,0
2.52674175,0.7078656,28.0644,128.3699,179.3377,182.8497,17642,0.00039953,1.286e-05,0.0,22769.908,569.904,32509.807,273.738,32236.069,16083.459557468968,4.183966994580742,0,0,0
1.00270388,0.0003061,1.8325,91.4231,132.3207,46.9805,7375,0.0,-2.73e-06,0.0,42165.124,1436.117,35799.895,35774.082,25.812999999994645,42165.12202462272,3.074625303008609,0,0,0
